Grau	Codigo	Descricao	Categoria	Data Início	Data Fim
N7	28419083	DE BISMUTO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N7	28419089	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28419090	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N3	28420000	OUTROS SAIS DOS ÁCIDOS OU PEROXOÁCIDOS INORGÂNICOS (INCLUINDO OS ALUMINOSSILICATOS DE CONSTITUIÇÃO QUÍMICA DEFINIDA OU NÃO), EXCETO AS AZIDAS.	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28421000	- SILICATOS DUPLOS OU COMPLEXOS, INCLUINDO OS ALUMINOSSILICATOS DE CONSTITUIÇÃO QUÍMICA DEFINIDA OU NÃO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28421010	ZEÓLITAS DO TIPO UTILIZADO COMO TROCADORES DE ÍONS PARA O TRATAMENTO DE ÁGUAS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28421090	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28429000	- OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N3	28430000	METAIS PRECIOSOS NO ESTADO COLOIDAL; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE CONSTITUIÇÃO QUÍMICA DEFINIDA OU NÃO; AMÁLGAMAS DE METAIS PRECIOSOS.	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28431000	- METAIS PRECIOSOS NO ESTADO COLOIDAL	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28432000	- COMPOSTOS DE PRATA:	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N5	28432100	-- NITRATO DE PRATA	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N5	28432900	-- OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28432910	VITELINATO DE PRATA	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28432990	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28433000	- COMPOSTOS DE OURO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28433010	SULFETO DE OURO EM DISPERSÃO DE GELATINA	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28433090	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28439000	- OUTROS COMPOSTOS; AMÁLGAMAS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28439010	DEXORMAPLATINA; ENLOPLATINA; IPROPLATINA; LOBAPLATINA; MIBOPLATINA; ORMAPLATINA; SEBRIPLATINA E ZENIPLATINA	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N7	28439011	APRESENTADOS COMO MEDICAMENTOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N7	28439019	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28439020	TRICLORETO DE RUTÊNIO EM SOLUÇÃO AQUOSA COM UMA CONCENTRAÇÃO IGUAL OU SUPERIOR A 17 %, MAS INFERIOR OU IGUAL A 27 %, EM PESO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28439030	ÁCIDO HEXACLOROIRÍDICO EM SOLUÇÃO AQUOSA COM UMA CONCENTRAÇÃO IGUAL OU SUPERIOR A 17 %, MAS INFERIOR OU IGUAL A 27 %, EM PESO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28439090	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N3	28440000	ELEMENTOS QUÍMICOS RADIOATIVOS E ISÓTOPOS RADIOATIVOS (INCLUINDO OS ELEMENTOS QUÍMICOS E ISÓTOPOS FÍSSEIS (CINDÍVEIS) OU FÉRTEIS), E SEUS COMPOSTOS; MISTURAS E RESÍDUOS QUE CONTENHAM ESSES PRODUTOS.	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28441000	- URÂNIO NATURAL E SEUS COMPOSTOS; LIGAS, DISPERSÕES (INCLUINDO OS CERMETS), PRODUTOS CERÂMICOS E MISTURAS QUE CONTENHAM URÂNIO NATURAL OU COMPOSTOS DE URÂNIO NATURAL	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28442000	- URÂNIO ENRIQUECIDO EM U 235 E SEUS COMPOSTOS; PLUTÔNIO E SEUS COMPOSTOS; LIGAS, DISPERSÕES (INCLUINDO OS CERMETS), PRODUTOS CERÂMICOS E MISTURAS QUE CONTENHAM URÂNIO ENRIQUECIDO EM U 235, PLUTÔNIO OU COMPOSTOS DESTES PRODUTOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28443000	- URÂNIO EMPOBRECIDO EM U 235 E SEUS COMPOSTOS; TÓRIO E SEUS COMPOSTOS; LIGAS, DISPERSÕES (INCLUINDO OS CERMETS), PRODUTOS CERÂMICOS E MISTURAS QUE CONTENHAM URÂNIO EMPOBRECIDO EM U 235, TÓRIO OU COMPOSTOS DESTES PRODUTOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28444000	- ELEMENTOS, ISÓTOPOS E COMPOSTOS, RADIOATIVOS, EXCETO OS DAS SUBPOSIÇÕES 2844.10, 2844.20 OU 2844.30; LIGAS, DISPERSÕES (INCLUINDO OS CERMETS), PRODUTOS CERÂMICOS E MISTURAS QUE CONTENHAM ESTES ELEMENTOS, ISÓTOPOS OU COMPOSTOS; RESÍDUOS RADIOATIVOS:	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N5	28444100	-- TRÍTIO E SEUS COMPOSTOS; LIGAS, DISPERSÕES (INCLUINDO OS CERMETS), PRODUTOS CERÂMICOS E MISTURAS QUE CONTENHAM TRÍTIO OU SEUS COMPOSTOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N5	28444200	-- ACTÍNIO-225, ACTÍNIO-227, CALIFÓRNIO-253, CÚRIO-240, CÚRIO-241, CÚRIO-242, CÚRIO-243, CÚRIO-244, EINSTÊINIO-253, EINSTÊINIO-254, GADOLÍNIO-148, POLÔNIO-208, POLÔNIO-209, POLÔNIO-210, RÁDIO-223, URÂNIO-230 OU URÂNIO-232, E SEUS COMPOSTOS; LIGAS, DISPERSÕES (INCLUINDO OS CERMETS), PRODUTOS CERÂMICOS E MISTURAS QUE CONTENHAM ESTES ELEMENTOS OU COMPOSTOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N5	28444300	-- OUTROS ELEMENTOS, ISÓTOPOS E COMPOSTOS, RADIOATIVOS; LIGAS, DISPERSÕES (INCLUINDO OS CERMETS), PRODUTOS CERÂMICOS E MISTURAS QUE CONTENHAM ESTES ELEMENTOS, ISÓTOPOS OU COMPOSTOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28444310	MOLIBDÊNIO-99 ABSORVIDO EM ALUMINA, APTO PARA A OBTENÇÃO DE TECNÉCIO-99 (REATIVO DE DIAGNÓSTICO PARA MEDICINA NUCLEAR)	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28444320	COBALTO-60	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28444330	IODO-131	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28444390	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N5	28444400	-- RESÍDUOS RADIOATIVOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28445000	- ELEMENTOS COMBUSTÍVEIS (CARTUCHOS) USADOS (IRRADIADOS) DE REATORES NUCLEARES	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N3	28450000	ISÓTOPOS NÃO INCLUÍDOS NA POSIÇÃO 28.44; SEUS COMPOSTOS, INORGÂNICOS OU ORGÂNICOS, DE CONSTITUIÇÃO QUÍMICA DEFINIDA OU NÃO.	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28451000	- ÁGUA PESADA (ÓXIDO DE DEUTÉRIO)	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28452000	- BORO ENRIQUECIDO EM BORO-10 E SEUS COMPOSTOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28453000	- LÍTIO ENRIQUECIDO EM LÍTIO-6 E SEUS COMPOSTOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28454000	- HÉLIO-3	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28459000	- OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N3	28460000	COMPOSTOS, INORGÂNICOS OU ORGÂNICOS, DOS METAIS DAS TERRAS RARAS, DE ÍTRIO OU DE ESCÂNDIO OU DAS MISTURAS DESTES METAIS.	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28461000	- COMPOSTOS DE CÉRIO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28461010	ÓXIDO CÉRICO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28461090	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28469000	- OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28469010	ÓXIDO DE PRASEODÍMIO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28469020	CLORETOS DOS DEMAIS METAIS DAS TERRAS RARAS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28469030	GADOPENTETATO DE DIMEGLUMINA	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28469090	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N3	28470000	PERÓXIDO DE HIDROGÊNIO (ÁGUA OXIGENADA), MESMO SOLIDIFICADO COM UREIA.	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N3	28490000	CARBONETOS DE CONSTITUIÇÃO QUÍMICA DEFINIDA OU NÃO.	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28491000	- DE CÁLCIO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28492000	- DE SILÍCIO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28499000	- OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28499010	DE BORO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28499020	DE TÂNTALO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28499030	DE TUNGSTÊNIO (VOLFRÂMIO)	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28499090	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N2	28500000	HIDRETOS, NITRETOS, AZIDAS, SILICIETOS E BORETOS, DE CONSTITUIÇÃO QUÍMICA DEFINIDA OU NÃO, EXCETO OS COMPOSTOS QUE CONSTITUAM IGUALMENTE CARBONETOS DA POSIÇÃO 28.49.	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28500010	NITRETO DE BORO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28500020	SILICIETO DE CÁLCIO	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28500090	OUTROS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N3	28520000	COMPOSTOS, INORGÂNICOS OU ORGÂNICOS, DE MERCÚRIO, DE CONSTITUIÇÃO QUÍMICA DEFINIDA OU NÃO, EXCETO AS AMÁLGAMAS.	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N4	28521000	- DE CONSTITUIÇÃO QUÍMICA DEFINIDA	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N6	28521010	COMPOSTOS INORGÂNICOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N7	28521011	ÓXIDOS	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
N7	28521012	CLORETO DE MERCÚRIO I (CLORETO MERCUROSO)	28: PRODUTOS QUÍMICOS INORGÂNICOS; COMPOSTOS INORGÂNICOS OU ORGÂNICOS DE METAIS PRECIOSOS, DE ELEMENTOS RADIOATIVOS, DE METAIS DAS TERRAS RARAS OU DE ISÓTOPOS. 	01/04/2022	31/12/9999
